特征,相关性,绝对相关性
引火源_热油,-0.0015938548870122317,0.0015938548870122317
起火物_电线杆,-0.0015938548870122308,0.0015938548870122308
引火源_电磁炉,-0.0015938548870122295,0.0015938548870122295
起火物_手机电池,-0.0015938548870122254,0.0015938548870122254
起火物_塑料制品,-0.0015938548870122126,0.0015938548870122126
引火源_插座,0.0015691752273928694,0.0015691752273928694
起火位置_临时宿舍,0.0015691752273928664,0.0015691752273928664
起火物类型_其他道路交通工具,0.0015691752273928657,0.0015691752273928657
起火位置_学生、教职工集体宿舍,0.001569175227392856,0.001569175227392856
起火位置_岗亭、值班室,0.001569175227392855,0.001569175227392855
起火物类型_工业用纺织品,0.0015691752273928516,0.0015691752273928516
起火物_布料,0.0015691752273928501,0.0015691752273928501
起火物_树木杂草,0.00156917522739284,0.00156917522739284
起火物_植物,0.0015691752273928213,0.0015691752273928213
起火位置_储藏间,-0.001532200527096555,0.001532200527096555
起火物_烹饪厨具,-0.0014908661012961778,0.0014908661012961778
引火源_配电箱,-0.0014908661012961583,0.0014908661012961583
起火物_三元锂电池,-0.0014908661012961572,0.0014908661012961572
起火物_发动机线路,-0.0014908661012961479,0.0014908661012961479
起火物_新能源面包车,-0.0014908661012961327,0.0014908661012961327
起火物_塑料瓶,-0.0014908661012961262,0.0014908661012961262
起火物_灯,-0.0014908661012961258,0.0014908661012961258
起火物_高压线,-0.0014908661012961232,0.0014908661012961232
起火物_地下电缆,-0.0014908661012961225,0.0014908661012961225
起火物_移动电源,-0.001490866101296122,0.001490866101296122
起火物_开关,-0.0014908661012961212,0.0014908661012961212
起火物_电器线路,-0.0014908661012961188,0.0014908661012961188
起火物_空压机,-0.0014908661012961162,0.0014908661012961162
起火物_室外电箱,-0.0014908661012961154,0.0014908661012961154
引火源_电表箱,-0.001483084028913801,0.001483084028913801
起火物类型_工程、农用机械车辆,-0.0014830840289137995,0.0014830840289137995
引火源_轮胎,-0.001483084028913792,0.001483084028913792
起火物_新能源汽车,-0.0014830840289137904,0.0014830840289137904
起火物_烧烤炉,0.0014767784209627653,0.0014767784209627653
起火物_纸皮,0.0014700822811061645,0.0014700822811061645
起火物类型_日用化学品,0.0014428930943942665,0.0014428930943942665
起火物类型_客车,-0.00143622099459818,0.00143622099459818
起火物_吹风机,0.0014263495376561355,0.0014263495376561355
起火位置_仓库,-0.0013900723681178316,0.0013900723681178316
起火物_消毒柜,-0.0013900723681178199,0.0013900723681178199
起火物_轿车,-0.001390072368117802,0.001390072368117802
起火物_塑料杂物,-0.001380228787604915,0.001380228787604915
引火源_蓄电池热失控,-0.0013802287876049121,0.0013802287876049121
起火位置_公共活动区,-0.001380228787604912,0.001380228787604912
引火源_热气体,-0.0013802287876049117,0.0013802287876049117
引火源_电点,-0.0013802287876049084,0.0013802287876049084
起火物类型_插电混动,-0.001380228787604908,0.001380228787604908
引火源_空调,-0.0013802287876049073,0.0013802287876049073
引火源_过热,-0.0013802287876049063,0.0013802287876049063
起火物_饮水机,-0.0013802287876049063,0.0013802287876049063
起火物_抽水泵,-0.0013802287876049058,0.0013802287876049058
起火物_泥头车,-0.0013802287876049056,0.0013802287876049056
引火源_电池热失控,-0.001380228787604905,0.001380228787604905
起火位置_管理用房,-0.0013802287876049045,0.0013802287876049045
起火物_电吹风,-0.0013802287876049028,0.0013802287876049028
起火物_灯带,-0.0013802287876049028,0.0013802287876049028
起火物_艾灸,-0.0013802287876049017,0.0013802287876049017
起火物_挤塑板,-0.0013802287876049015,0.0013802287876049015
起火物_电吹风机,-0.0013802287876049008,0.0013802287876049008
起火物_新能源轿车,-0.0013802287876049002,0.0013802287876049002
起火物_电箱电线,-0.0013802287876049002,0.0013802287876049002
起火物_排气扇,-0.0013802287876048998,0.0013802287876048998
起火物_平底锅,-0.0013802287876048995,0.0013802287876048995
起火物_烧干锅,-0.001367355559918707,0.001367355559918707
起火物_纸箱,-0.0013429080953529732,0.0013429080953529732
引火源_电气故障,0.0013007397678897028,0.0013007397678897028
起火物类型_个人护理,0.0013007397678896514,0.0013007397678896514
起火物_高压锅,-0.0012927637186477582,0.0012927637186477582
起火物类型_变压器,-0.001292570285654497,0.001292570285654497
起火物_空气开关,0.0012686450344809384,0.0012686450344809384
起火物_充电柜,0.0012686450344809336,0.0012686450344809336
引火源_充电宝,0.0012686450344809223,0.0012686450344809223
起火物_纸巾,0.0012686450344809085,0.0012686450344809085
起火物_车轮胎,-0.0012599296469100844,0.0012599296469100844
起火物_灶具,-0.0012599296469100686,0.0012599296469100686
起火物_火花机,-0.0012599296469100673,0.0012599296469100673
起火物_食物,-0.0012599296469100667,0.0012599296469100667
起火物_电热毯,-0.0012599296469100378,0.0012599296469100378
起火物_空调内机,-0.0012599296469100374,0.0012599296469100374
引火源_开关,-0.0012599296469100374,0.0012599296469100374
引火源_电器线路,-0.0012599296469100326,0.0012599296469100326
起火物_货物,-0.0012599296469100272,0.0012599296469100272
起火物_床头柜,-0.0012599296469100265,0.0012599296469100265
起火物_机械设备,-0.001259929646910023,0.001259929646910023
起火物_路灯电线,-0.0012599296469100222,0.0012599296469100222
起火物_电池线路,-0.0012599296469100203,0.0012599296469100203
起火物_煤气罐,-0.0012599296469100196,0.0012599296469100196
起火物_热水壶,-0.0012599296469100194,0.0012599296469100194
起火物_发电机,-0.0012599296469100129,0.0012599296469100129
起火物_木屑,-0.0012599296469100055,0.0012599296469100055
引火源_纸钱,-0.0012599296469100053,0.0012599296469100053
起火位置_电气线路及仪表,-0.0012578822713108409,0.0012578822713108409
起火物_被子,-0.001243336427943421,0.001243336427943421
起火物_路灯,0.0012258677361367014,0.0012258677361367014
起火物类型_其他纺织品,-0.0011906030724999545,0.0011906030724999545
起火物_排风扇,-0.0011906030724999454,0.0011906030724999454
起火物_沙发,0.0011797943301687993,0.0011797943301687993
起火物类型_电化学储能设备,0.0011777990459297684,0.0011777990459297684
起火物类型_制冷电器,0.0011627790927065393,0.0011627790927065393
起火物_发动机,-0.001143780384265518,0.001143780384265518
起火物_广告牌线路,-0.0011268785875043904,0.0011268785875043904
起火物_床被衣物,-0.0011268785875043854,0.0011268785875043854
起火物_电动自行车蓄电池,-0.001126878587504383,0.001126878587504383
起火物_凳子,-0.0011268785875043826,0.0011268785875043826
起火物类型_火药、炸药,-0.0011268785875043826,0.0011268785875043826
起火物_电动汽车,-0.001126878587504382,0.001126878587504382
起火物_装修材料,-0.001126878587504382,0.001126878587504382
起火物_挖掘机,-0.001126878587504382,0.001126878587504382
起火物_废弃纸皮,-0.0011268785875043813,0.0011268785875043813
起火物_电机,-0.001126878587504379,0.001126878587504379
起火物_线路短路,-0.0011268785875043759,0.0011268785875043759
起火物_三轮电动车,-0.0011268785875043746,0.0011268785875043746
引火源_灶具,-0.001126878587504374,0.001126878587504374
引火源_炉灶,-0.0011268785875043735,0.0011268785875043735
引火源_摩擦过热,-0.001126878587504373,0.001126878587504373
起火物_室外空调机,-0.0011268785875043728,0.0011268785875043728
起火物_灯具,-0.001126878587504372,0.001126878587504372
引火源_刹车皮,-0.0011268785875043715,0.0011268785875043715
起火物_电钻,-0.0011268785875043709,0.0011268785875043709
起火物_电子元器件,-0.001126878587504369,0.001126878587504369
起火物_塑料管道,-0.0011268785875043687,0.0011268785875043687
起火物_油烟净化器,-0.0011268785875043685,0.0011268785875043685
引火源_油烟管道,-0.0011268785875043683,0.0011268785875043683
起火物_抽风机,-0.0011268785875043683,0.0011268785875043683
起火物_空调电线,-0.001126878587504368,0.001126878587504368
起火物_燃气炉灶,-0.0011268785875043672,0.0011268785875043672
起火位置_试（实）验区,-0.0011268785875043655,0.0011268785875043655
起火位置_科研试验场所,-0.0011268785875043655,0.0011268785875043655
起火物_废弃垃圾,-0.0011268785875043655,0.0011268785875043655
起火物_办公用品,-0.0011268785875043646,0.0011268785875043646
起火物_车辆发动机,-0.0011268785875043637,0.0011268785875043637
起火物_净水器,-0.0011268785875043633,0.0011268785875043633
起火物_废旧垃圾,-0.0011268785875043633,0.0011268785875043633
起火物_可燃气体,-0.0011268785875043629,0.0011268785875043629
引火源_发动机故障,-0.0011268785875043626,0.0011268785875043626
起火物_鞋子,-0.0011268785875043607,0.0011268785875043607
引火源_电饭煲,-0.0011268785875043566,0.0011268785875043566
起火物_变电箱,-0.0011268785875043561,0.0011268785875043561
起火物_传输线缆,-0.0011268785875043503,0.0011268785875043503
